"case_group","case_hgnc","case_transcript","case_cds_length","case_NMD_region_start","case_NMD_region_end","case_NMDesc_region_length","case_nmd_cds_ratio","control_group","control_hgnc","control_transcript","control_cds_length","control_NMD_region_start","control_NMD_region_end","control_NMDesc_region_length","control_nmd_cds_ratio","cds_log10_diff","ratio_abs_diff"
"fs","KAT6A","ENST00000265713",6015,3242,5958,2717,0.451704073150457,"fs_control","CDC42BPB","ENST00000361246",5136,2504,5046,2543,0.495132398753894,0.0686106166150666,0.0434283256034369
"fs","KAT6B","ENST00000287239",6222,3551,6172,2622,0.421407907425265,"fs_control","CHD5","ENST00000262450",5865,2855,5671,2817,0.480306905370844,0.0256619903211366,0.0588989979455788
"fs","KCNQ2","ENST00000359125",2619,1720,2256,537,0.20504009163803,"fs_control","DSC2","ENST00000280904",2706,2302,2684,383,0.141537324464154,0.0141922938363721,0.063502767173876
"fs","KIDINS220","ENST00000256707",5316,3953,5234,1282,0.241158765989466,"fs_control","CUX2","ENST00000261726",4461,3461,4396,936,0.209818426361802,0.0761527490290774,0.0313403396276635
"fs","KMT2E","ENST00000311117",5577,3792,4927,1136,0.203693742155281,"fs_control","ADGRL1","ENST00000361434",4410,3516,4094,579,0.131292517006803,0.101962055023722,0.0724012251484779
"fs","LRSAM1","ENST00000300417",2172,989,2011,1023,0.470994475138122,"fs_control","SKI","ENST00000378536",2187,956,1968,1013,0.463191586648377,0.00298896212082767,0.00780288848974475
"fs","MLH1","ENST00000231790",2271,1039,2125,1087,0.478643769264641,"fs_control","LDB3","ENST00000361373",2184,938,1956,1019,0.466575091575092,0.0169645001870355,0.0120686776895496
"fs","MN1","ENST00000302326",3963,3676,3937,262,0.0661115316679283,"fs_control","SH3TC2","ENST00000515425",3867,3563,3800,238,0.0615464184122058,0.0106499002611242,0.00456511325572249
"fs","MNX1","ENST00000252971",1206,668,1057,390,0.323383084577114,"fs_control","SF3B4","ENST00000271628",1275,479,874,396,0.310588235294118,0.0241628769658413,0.0127948492829968
"fs","MPL","ENST00000372470",1908,1508,1860,353,0.185010482180294,"fs_control","KLHL24","ENST00000242810",1803,1478,1778,301,0.166943982251803,0.0245826436456746,0.018066499928491
"fs","MSH6","ENST00000234420",4083,3866,4069,204,0.0499632623071271,"fs_control","FLT4","ENST00000261937",4092,3773,4015,243,0.0593841642228739,0.000956245117125665,0.00942090191574679
"fs","MYH7","ENST00000355349",5808,5666,5797,132,0.0227272727272727,"fs_control","MYH2","ENST00000245503",5826,5658,5815,158,0.0271198077583247,0.00134387259961111,0.00439253503105202
"fs","MYH9","ENST00000216181",5883,5664,5851,188,0.0319564847866735,"fs_control","MYH11","ENST00000300036",5919,5639,5838,200,0.0337894914681534,0.0026494915844073,0.00183300668147994
"fs","MYO6","ENST00000369977",3858,3060,3824,765,0.198289269051322,"fs_control","ERBB4","ENST00000342788",3927,3220,3864,645,0.164247517188694,0.0076986779625523,0.0340417518626283
"fs","NIPBL","ENST00000282516",8415,7920,8354,435,0.0516934046345811,"fs_control","FBN2","ENST00000262464",8739,8201,8695,495,0.0566426364572606,0.0164076190354874,0.00494923182267945
"fs","NKX2-1","ENST00000354822",1206,202,636,435,0.360696517412935,"fs_control","GLUL","ENST00000331872",1122,713,1075,363,0.323529411764706,0.03135445088399,0.0371671056482294
"fs","NKX2-5","ENST00000329198",975,28,824,797,0.817435897435897,"fs_control","HOXA2","ENST00000222718",1131,226,1094,869,0.768346595932803,0.0644579892269181,0.0490893015030945
"fs","NOTCH2","ENST00000256646",7416,5938,7348,1411,0.190264293419633,"fs_control","CACNA1D","ENST00000350061",6486,6012,6462,451,0.0695343817452976,0.0581927767994865,0.120729911674336
"fs","NOTCH3","ENST00000263388",6966,5828,6774,947,0.135946023542923,"fs_control","MED13","ENST00000397786",6525,6166,6506,341,0.0522605363984674,0.0284029541118986,0.0836854871444553
"fs","NSD2","ENST00000508803",4098,3644,3998,355,0.0866276232308443,"fs_control","MYPN","ENST00000358913",3963,3608,3948,341,0.0860459248044411,0.0145478817309863,0.000581698426403238
"fs","PALB2","ENST00000261584",3561,3287,3475,189,0.0530749789385004,"fs_control","PUM1","ENST00000426105",3567,3329,3541,213,0.0597140454163162,0.000731135664100435,0.00663906647781581
"fs","PHOX2B","ENST00000226382",945,137,748,612,0.647619047619048,"fs_control","FASLG","ENST00000367721",846,197,763,567,0.670212765957447,0.0480614454702395,0.0225937183383992
"fs","PIEZO1","ENST00000301015",7566,7122,7546,425,0.056172349986783,"fs_control","MAP1B","ENST00000296755",7407,7172,7370,199,0.0268664776562711,0.00922399230513049,0.0293058723305119
"fs","PKD1","ENST00000262304",12912,12020,12637,618,0.0478624535315985,"fs_control","KMT2A","ENST00000534358",11919,11714,11882,169,0.0141790418659283,0.0347536976029703,0.0336834116656702
"fs","PLCB4","ENST00000378473",3621,1540,3596,2057,0.568075117370892,"fs_control","POLRMT","ENST00000588649",3693,1745,3622,1878,0.508529650690495,0.00855078283396704,0.0595454666803965
"fs","PLEC","ENST00000345136",13644,7328,13585,6258,0.458663148636763,"fs_control","SYNE2","ENST00000555002",20724,10210,20504,10295,0.496767033391237,0.181531872879724,0.0381038847544738
"fs","POLG","ENST00000268124",3720,3586,3670,85,0.0228494623655914,"fs_control","IMPG2","ENST00000193391",3726,3635,3690,56,0.0150295222758991,0.000699910678326532,0.00781994008969231
"fs","PPM1D","ENST00000305921",1818,1196,1708,513,0.282178217821782,"fs_control","MSTO1","ENST00000245564",1713,1282,1669,388,0.226503210741389,0.0258365159204383,0.0556750070803928
"fs","PPP3CA","ENST00000394854",1566,1265,1488,224,0.143039591315453,"fs_control","PLIN1","ENST00000300055",1569,1006,1200,195,0.124282982791587,0.000831185865012074,0.0187566085238664
"fs","PRPH2","ENST00000230381",1041,707,932,226,0.217098943323727,"fs_control","NODAL","ENST00000287139",1044,802,1012,211,0.202107279693487,0.00124976915570718,0.0149916636302406
"fs","RASA1","ENST00000274376",3144,2992,3109,118,0.0375318066157761,"fs_control","DNA2","ENST00000358410",3183,3044,3139,96,0.0301602262016965,0.00535410125363267,0.00737158041407957
"fs","RDH12","ENST00000551171",951,596,928,333,0.350157728706625,"fs_control","RLBP1","ENST00000268125",954,497,854,358,0.375262054507338,0.00136785776668136,0.0251043258007129
"fs","ROR2","ENST00000375708",2832,1312,2599,1288,0.454802259887006,"fs_control","GABBR2","ENST00000259455",2826,1282,2588,1307,0.462491153573956,0.000921091505191374,0.00768889368695053
"fs","RORB","ENST00000376896",1380,1079,1334,256,0.185507246376812,"fs_control","PAX8","ENST00000429538",1353,1058,1308,251,0.185513673318551,0.0085812898036135,6.42694173977332e-06
"fs","RP1","ENST00000220676",6471,683,6440,5758,0.889816102611652,"fs_control","C3","ENST00000245907",4992,1,4752,4752,0.951923076923077,0.11269682314784,0.0621069743114249
"fs","RPE65","ENST00000262340",1602,1370,1544,175,0.109238451935081,"fs_control","RORA","ENST00000335670",1572,1340,1513,174,0.110687022900763,0.00820997004482971,0.00144857096568221
"fs","SATB1","ENST00000338745",2292,1678,2280,603,0.263089005235602,"fs_control","CDH11","ENST00000268603",2391,1792,2362,571,0.238812212463404,0.0183649628204225,0.0242767927721977
"fs","SCN3A","ENST00000283254",6003,4685,5930,1246,0.207562885224055,"fs_control","SETD1A","ENST00000262519",5124,4722,5035,314,0.06128024980484,0.0687592222832252,0.146282635419215
"fs","SCN4A","ENST00000435607",5511,4106,5359,1254,0.227544910179641,"fs_control","ERBB3","ENST00000267101",4029,3404,3979,576,0.142963514519732,0.136033143637093,0.0845813956599088
"fs","SCN5A","ENST00000423572",6048,4646,5942,1297,0.214451058201058,"fs_control","CDK13","ENST00000181839",4539,3623,4352,730,0.160828376294338,0.124651599750301,0.0536226819067202
"fs","SDHB","ENST00000375499",843,665,812,148,0.175563463819692,"fs_control","KCTD17","ENST00000403888",945,701,865,165,0.174603174603175,0.0496042338845206,0.000960289216516974
"fs","SDHD","ENST00000375549",480,228,368,141,0.29375,"fs_control","GMNN","ENST00000230056",630,408,570,163,0.258730158730159,0.118099312077995,0.0350198412698413
"fs","SEMA6B","ENST00000586582",2667,1517,2180,664,0.248968878890139,"fs_control","CSF3R","ENST00000373106",2511,1757,2382,626,0.249303066507368,0.0261763029769537,0.000334187617228837
"fs","SERPING1","ENST00000278407",1503,1156,1417,262,0.174318030605456,"fs_control","SLC16A1","ENST00000369626",1503,1130,1414,285,0.189620758483034,0,0.0153027278775782
"fs","SETX","ENST00000224140",8034,3796,7880,4085,0.508464027881504,"fs_control","ABCA4","ENST00000370225",6822,3380,6752,3373,0.494429785986514,0.0710201123242742,0.0140342418949894
"fs","SHH","ENST00000297261",1389,413,1144,732,0.526997840172786,"fs_control","TBXT","ENST00000366876",1311,425,1114,690,0.526315789473684,0.0250995540475314,0.000682050699101988
"fs","SLC3A1","ENST00000260649",2058,1518,2012,495,0.240524781341108,"fs_control","SCNN1A","ENST00000228916",2010,1438,1816,379,0.188557213930348,0.0102493130059251,0.0519675674107596
"fs","SLC40A1","ENST00000261024",1716,1253,1627,375,0.218531468531469,"fs_control","RTN2","ENST00000245923",1638,1240,1552,313,0.191086691086691,0.0202033860882866,0.0274447774447775
"fs","SLC4A1","ENST00000262418",2736,1210,2628,1419,0.518640350877193,"fs_control","HK1","ENST00000359426",2754,1266,2658,1393,0.505809731299927,0.00284784287282625,0.0128306195772656
"fs","SOX9","ENST00000245479",1530,274,1144,871,0.569281045751634,"fs_control","ATL1","ENST00000358385",1677,712,1585,874,0.521168753726893,0.0398416317884869,0.0481122920247407
"fs","SPRED1","ENST00000299084",1335,560,1294,735,0.550561797752809,"fs_control","RHAG","ENST00000371175",1230,498,1183,686,0.557723577235772,0.0355761542611961,0.00716177948296337
"fs","STUB1","ENST00000219548",912,714,871,158,0.173245614035088,"fs_control","GNB1","ENST00000378609",1023,792,979,188,0.183773216031281,0.0498807953837441,0.0105276019961928
"fs","TBR1","ENST00000389554",2049,1114,1789,676,0.329917032698878,"fs_control","MEFV","ENST00000219596",2346,1646,2324,679,0.289428815004263,0.0587860493783157,0.0404882176946149
"fs","TBX3","ENST00000349155",2172,1136,1978,843,0.388121546961326,"fs_control","COL9A2","ENST00000372748",2070,907,1826,920,0.444444444444444,0.0208894754598914,0.0563228974831185
"fs","TCAP","ENST00000309889",504,32,302,271,0.537698412698413,"fs_control","ATP6V0C","ENST00000330398",468,80,320,241,0.514957264957265,0.0321846833714012,0.0227411477411478
"fs","TEK","ENST00000380036",3375,3227,3334,108,0.032,"fs_control","SREBF1","ENST00000261646",3444,3124,3260,137,0.0397793263646922,0.00878936561457344,0.00777932636469222
"fs","TGFB3","ENST00000238682",1239,928,1225,298,0.240516545601291,"fs_control","TGFB1","ENST00000221930",1173,830,1092,263,0.224211423699915,0.023773294260534,0.0163051219013766
"fs","TGFBR2","ENST00000295754",1704,1436,1681,246,0.144366197183099,"fs_control","PRODH","ENST00000357068",1803,1428,1676,249,0.138103161397671,0.0245261362917204,0.00626303578542806
"fs","THRA","ENST00000450525",1233,905,1189,285,0.231143552311436,"fs_control","ZP3","ENST00000394857",1275,920,1177,258,0.202352941176471,0.0145471081742423,0.0287906111349649
"fs","TRPC6","ENST00000344327",2796,2584,2758,175,0.0625894134477825,"fs_control","PDE11A","ENST00000286063",2802,2566,2744,179,0.0638829407566024,0.00093096387611169,0.00129352730881989
"fs","TRPS1","ENST00000395715",3885,2723,3808,1086,0.27953667953668,"fs_control","SCAF4","ENST00000286835",3444,2402,3378,977,0.283681765389082,0.0523278803553162,0.00414508585240292
"fs","VHL","ENST00000256474",642,299,559,261,0.406542056074766,"fs_control","RBP4","ENST00000371464",606,256,499,244,0.402640264026403,0.0250624039025671,0.00390179204836372
"fs","WFS1","ENST00000226760",2673,650,2492,1843,0.689487467265245,"fs_control","TRIM71","ENST00000383763",2607,1000,2512,1513,0.58036056770234,0.0108579275882081,0.109126899562905
"fs","WNT1","ENST00000293549",1113,384,769,386,0.34681042228212,"fs_control","GNAO1","ENST00000262493",1065,662,979,318,0.298591549295775,0.0191455565599519,0.0482188729863458
"fs","WNT10A","ENST00000258411",1254,282,756,475,0.378787878787879,"fs_control","LHX4","ENST00000263726",1173,665,1128,464,0.395566922421142,0.0289995243791683,0.0167790436332636
"fs","ZFHX3","ENST00000268489",11112,9276,11040,1765,0.158837293016559,"fs_control","RANBP2","ENST00000283195",9675,9260,9626,367,0.0379328165374677,0.0601412590386099,0.120904476479091
"fs","ZIC2","ENST00000376335",1599,1012,1410,399,0.24953095684803,"fs_control","MEF2C","ENST00000504921",1422,1025,1338,314,0.220815752461322,0.0509488673524872,0.0287152043867079
"fs","ZNF148","ENST00000360647",2385,719,2348,1630,0.683438155136268,"fs_control","ZNF408","ENST00000311764",2163,554,2102,1549,0.716134997688396,0.0424318639370411,0.0326968425521273
"fs","ZNF292","ENST00000369577",8172,956,8143,7188,0.879588839941263,"fs_control","CACNA1C","ENST00000399655",6417,1,6332,6332,0.986753934860527,0.104996318669219,0.107165094919264
