"hgnc_symbol","ensembl_transcript_id","group","gc_content","nmdesc_gc_content"
"ADGRE2","ENST00000315576","snv_control",56.35,54.24
"CTNNA1","ENST00000302763","snv_control",49.87,52.66
"OVOL2","ENST00000278780","snv_control",61.96,56.68
"PHIP","ENST00000275034","snv_control",41.73,39.97
"PACS1","ENST00000320580","snv_control",57.33,57.83
"NLRP3","ENST00000336119","snv_control",52.53,44.67
"TMC1","ENST00000297784","snv_control",44.2,50.68
"CRYBA2","ENST00000295728","snv_control",63.3,62.12
"HEPACAM","ENST00000298251","snv_control",61.23,73.65
"FBLN5","ENST00000342058","snv_control",53.01,51.89
"ABL1","ENST00000318560","snv_control",59.03,63.06
"MYRF","ENST00000278836","snv_control",63.25,58.78
"KRT83","ENST00000293670","snv_control",62.15,65.13
"HSPA9","ENST00000297185","snv_control",46.32,46.09
"PLIN1","ENST00000300055","snv_control",65.58,72.44
"LIPC","ENST00000299022","snv_control",52.4,40.74
"HNRNPA1","ENST00000340913","snv_control",49.06,52.83
"CHD3","ENST00000330494","snv_control",55.11,61.05
"OSMR","ENST00000274276","snv_control",43.74,46.07
"RPSA","ENST00000301821","snv_control",52.59,55.86
"TMEM43","ENST00000306077","snv_control",55.53,59.29
"CDH2","ENST00000269141","snv_control",46.42,52.14
"SMAD3","ENST00000327367","snv_control",58.29,57.47
"STOX1","ENST00000298596","snv_control",47.41,40.91
"KIT","ENST00000288135","snv_control",44.93,50.28
"P4HB","ENST00000331483","snv_control",56.25,51.15
"ATP6V1A","ENST00000273398","snv_control",45.2,42.66
"EZH2","ENST00000320356","snv_control",44.15,46.85
"IHH","ENST00000295731","snv_control",65.78,66.15
"HSPB8","ENST00000281938","snv_control",58.54,49.52
"TLR3","ENST00000296795","snv_control",39.82,35.84
"UCP3","ENST00000314032","snv_control",58.79,50.3
"HMCN1","ENST00000271588","snv_control",45.2,47.96
"TUBA1A","ENST00000301071","snv_control",53.32,52.57
"HNRNPDL","ENST00000295470","snv_control",50.36,46.28
"SCN4B","ENST00000324727","snv_control",55.02,50.69
"SCN3A","ENST00000283254","snv_control",42.83,43.26
"MAPRE2","ENST00000300249","snv_control",46.54,56
"FOXJ1","ENST00000322957","snv_control",69.27,67.73
"DSC2","ENST00000280904","snv_control",43.02,43.15
"NTRK2","ENST00000277120","snv_control",50.06,55.93
"NEUROD2","ENST00000302584","snv_control",67.71,67.71
"PIEZO1","ENST00000301015","snv_control",63.89,59
"KRT17","ENST00000311208","snv_control",61.35,61.38
"PLCD1","ENST00000334661","snv_control",59.49,52.94
"JPH1","ENST00000342232","snv_control",57.75,41.22
"IL17RD","ENST00000296318","snv_control",54.32,57.06
"AFG3L2","ENST00000269143","snv_control",47.83,44.98
"PROK2","ENST00000295619","snv_control",52.82,43.87
"TBK1","ENST00000331710","snv_control",37.44,42.16
"GH1","ENST00000323322","snv_control",56.12,55.24
"EIF4A2","ENST00000323963","snv_control",42.97,39.49
"NR4A2","ENST00000339562","snv_control",55.43,47.56
"KLHL10","ENST00000293303","snv_control",47.35,47.53
"YAP1","ENST00000282441","snv_control",55.84,47.4
"PIGT","ENST00000279036","snv_control",58.78,61.06
"YEATS2","ENST00000305135","snv_control",49.19,42.77
"DUSP6","ENST00000279488","snv_control",56.72,49.16
"CASP10","ENST00000286186","snv_control",47.29,43.63
"NAF1","ENST00000274054","snv_control",47.34,46.61
"ERBB4","ENST00000342788","snv_control",46.98,48.99
"VPS35","ENST00000299138","snv_control",41.7,38.7
"MAP1B","ENST00000296755","snv_control",48.41,48.06
"KRT16","ENST00000301653","snv_control",61.25,60.69
"BUB1B","ENST00000287598","snv_control",43.39,43.9
"CAV1","ENST00000341049","snv_control",50.09,47.96
"A2ML1","ENST00000299698","snv_control",49.71,42.86
"KRT10","ENST00000269576","snv_control",55.33,52.63
"SAMD9L","ENST00000318238","snv_control",37.69,37.69
"NLRP12","ENST00000324134","snv_control",58.22,50
"PRDM16","ENST00000270722","snv_control",62.59,52.97
"CRYAA","ENST00000291554","snv_control",62.45,64.23
"MAP2K1","ENST00000307102","snv_control",52.79,48.17
"AUTS2","ENST00000342771","snv_control",61.38,65.36
"LRRK2","ENST00000298910","snv_control",40.22,36.63
"WDFY3","ENST00000295888","snv_control",45.65,44.83
"GABRB3","ENST00000311550","snv_control",49.72,45.92
"POLE","ENST00000320574","snv_control",56.13,57.93
"CPA6","ENST00000297770","snv_control",42.85,43.28
"GLUD1","ENST00000277865","snv_control",52.12,46.47
"ROM1","ENST00000278833","snv_control",63.54,59.48
"SNRNP200","ENST00000323853","snv_control",52.49,50
"CAMTA1","ENST00000303635","snv_control",57.13,51.81
"MARCHF6","ENST00000274140","snv_control",45.74,44.68
"UNC119","ENST00000335765","snv_control",60.86,55.21
"KDM3B","ENST00000314358","snv_control",51.87,44.27
"DDB1","ENST00000301764","snv_control",51.91,54.48
"FTL","ENST00000331825","snv_control",56.63,56.65
"RANBP2","ENST00000283195","snv_control",40.11,36.52
"NODAL","ENST00000287139","snv_control",59.48,51.72
"RP9","ENST00000297157","snv_control",49.55,38.15
"GRM1","ENST00000282753","snv_control",54.92,62.05
"ZNF408","ENST00000311764","snv_control",62.78,62.52
"VAMP2","ENST00000316509","snv_control",57.83,40.3
"KRAS","ENST00000311936","snv_control",37.57,31.74
"CNOT1","ENST00000317147","snv_control",45.17,48.84
"USP48","ENST00000308271","snv_control",42.6,39.73
"MAF","ENST00000326043","snv_control",68.98,52.08
"RABL3","ENST00000273375","snv_control",43.74,37.07
"ZNF644","ENST00000337393","snv_control",38,45.27
"CACNB2","ENST00000324631","snv_control",50.13,54.5
"PPP2R1A","ENST00000322088","snv_control",59.04,55.22
"STAT6","ENST00000300134","snv_control",57.9,60
"ACTC1","ENST00000290378","snv_control",54.14,50
"COPB2","ENST00000333188","snv_control",43.77,36.99
"ALB","ENST00000295897","snv_control",42.95,47.37
"NEXN","ENST00000334785","snv_control",37.67,40.57
"PRKAG2","ENST00000287878","snv_control",50.35,48.78
"PDE4D","ENST00000340635","snv_control",50.99,49.89
"BFSP2","ENST00000302334","snv_control",58.49,66.67
"INSL3","ENST00000317306","snv_control",67.42,65.23
"ANKH","ENST00000284268","snv_control",54.23,52.44
"SCAF4","ENST00000286835","snv_control",49.94,56.46
"GATA6","ENST00000269216","snv_control",68.96,61.01
"KCNN3","ENST00000271915","snv_control",58.06,57.93
"ESR2","ENST00000341099","snv_control",53.42,56.54
"FZD5","ENST00000295417","snv_control",67.58,67.58
"CDH15","ENST00000289746","snv_control",66.13,64.53
"NF2","ENST00000338641","snv_control",50.95,52.48
"RPL15","ENST00000307839","snv_control",53.98,51.97
"UCHL1","ENST00000284440","snv_control",52.68,58.39
"DDX41","ENST00000330503","snv_control",58.11,60.96
"AP1G1","ENST00000299980","snv_control",44.07,46.71
"NCSTN","ENST00000294785","snv_control",51.27,52.02
"TSC1","ENST00000298552","snv_control",50.67,54.39
"AXIN2","ENST00000307078","snv_control",58.53,49.15
"ACOX1","ENST00000293217","snv_control",49.52,46.94
"DVL3","ENST00000313143","snv_control",61.41,70.64
"CFHR1","ENST00000320493","snv_control",40.99,39.53
"FGF8","ENST00000320185","snv_control",63.95,63.34
"BPTF","ENST00000306378","snv_control",45.65,37.93
"SPECC1L","ENST00000314328","snv_control",46.9,49.29
"SLC1A2","ENST00000278379","snv_control",50.61,44.26
"SEC23A","ENST00000307712","snv_control",43.26,42.14
"ADIPOQ","ENST00000320741","snv_control",53.61,50.61
"WASHC5","ENST00000318410","snv_control",42.53,44.86
"ATP6V1B2","ENST00000276390","snv_control",48.05,46.32
"HSPB3","ENST00000302005","snv_control",49.89,49.89
"ZNF687","ENST00000336715","snv_control",60.77,64.22
"EGFR","ENST00000275493","snv_control",53.95,55.1
"MMP19","ENST00000322569","snv_control",55.8,52.44
"OTULIN","ENST00000284274","snv_control",51.75,53.47
"ZNF462","ENST00000277225","snv_control",50.3,46.12
"GABRB1","ENST00000295454","snv_control",48.07,55.19
"GNB2","ENST00000303210","snv_control",60.9,61.78
"TERT","ENST00000310581","snv_control",66.08,64.94
"CYP2A6","ENST00000301141","snv_control",56.63,53.45
"MTMR14","ENST00000296003","snv_control",56.27,61.11
"HCN1","ENST00000303230","snv_control",51.66,57.98
"KCNE2","ENST00000290310","snv_control",46.24,46.24
"STAT5B","ENST00000293328","snv_control",55.08,59.89
"SIK1","ENST00000270162","snv_control",63.9,72.3
"GRIA1","ENST00000285900","snv_control",50.57,55.38
"ALG10B","ENST00000308742","snv_control",38.82,34.72
"ELOVL5","ENST00000304434","snv_control",46.44,48.45
"ROBO4","ENST00000306534","snv_control",63.03,52.05
"SOD1","ENST00000270142","snv_control",49.46,47.47
"TMEM151A","ENST00000327259","snv_control",71.93,71.85
"SLC17A8","ENST00000323346","snv_control",46.5,47.85
"TM4SF20","ENST00000304568","snv_control",43.62,42.48
"APPL1","ENST00000288266","snv_control",41.41,41.62
"SET","ENST00000322030","snv_control",41.61,44.59
"ATP5F1A","ENST00000398752","snv_control",47.77,43.18
"PPP1CB","ENST00000395366","snv_control",41.77,42.58
"MME","ENST00000360490","snv_control",41.32,43.33
"MEF2C","ENST00000504921","snv_control",50.49,53.76
"SMARCA4","ENST00000344626","snv_control",61.29,57.83
"CHCHD2","ENST00000395422","snv_control",61.84,50.82
"KCTD17","ENST00000403888","snv_control",64.44,65.83
"MYLK2","ENST00000375985","snv_control",57.12,51.15
"CHCHD10","ENST00000484558","snv_control",72.49,60
"DNM1","ENST00000372923","snv_control",59.38,73.87
"LIM2","ENST00000596399","snv_control",59.58,59.82
"MINPP1","ENST00000371996","snv_control",50.96,40.27
"PROM1","ENST00000447510","snv_control",42.92,34.85
"NLRP1","ENST00000572272","snv_control",55.72,57.03
"SMC3","ENST00000361804","snv_control",39,37.7
"MAP3K1","ENST00000399503","snv_control",48.58,43.5
"ACTN1","ENST00000394419","snv_control",57.38,60.77
"PBX1","ENST00000420696","snv_control",53.67,54.55
"ANXA11","ENST00000422982","snv_control",59.29,50
"LDLR","ENST00000558518","snv_control",58.46,56.98
"NR3C1","ENST00000394464","snv_control",44.04,34.48
"CLCN6","ENST00000346436","snv_control",54.67,59.54
"YARS1","ENST00000373477","snv_control",50.09,47.83
"MPEG1","ENST00000361050","snv_control",52.63,52.63
"GJB3","ENST00000373366","snv_control",60.76,60.76
"POLD1","ENST00000440232","snv_control",64.95,66.03
"COMT","ENST00000361682","snv_control",61.76,61.35
"MTOR","ENST00000361445","snv_control",53.14,46.97
"STAG1","ENST00000383202","snv_control",41.67,41.89
"KCNC3","ENST00000477616","snv_control",69,64.94
"HSPD1","ENST00000388968","snv_control",42.22,45.32
"TNFRSF11A","ENST00000586569","snv_control",58.78,69.46
"IFNGR1","ENST00000367739","snv_control",40.88,40.67
"MFAP5","ENST00000359478","snv_control",48.28,50.92
"TUBB8","ENST00000568584","snv_control",57.75,56.86
"FOXN1","ENST00000579795","snv_control",62.76,63.51
"RPL5","ENST00000370321","snv_control",44.18,48
"CEP85L","ENST00000368491","snv_control",42.02,43.46
"CAMK2B","ENST00000395749","snv_control",60.47,63.25
"ATR","ENST00000350721","snv_control",39.99,42.41
"RIT1","ENST00000368323","snv_control",47.27,44.84
"FGF14","ENST00000376143","snv_control",50.13,46.52
"PRKG1","ENST00000373980","snv_control",45.61,43.62
"F5","ENST00000367797","snv_control",45.3,40.61
"GABRA2","ENST00000381620","snv_control",40.12,41.21
"SCN4A","ENST00000435607","snv_control",57.54,59.47
"VCP","ENST00000358901","snv_control",50.85,56.41
"BMPR2","ENST00000374580","snv_control",45.43,46.51
"GNAI3","ENST00000369851","snv_control",42.35,37.34
"NPPA","ENST00000376480","snv_control",58.99,58.93
"KCNJ6","ENST00000609713","snv_control",49.84,50.8
"PACS2","ENST00000447393","snv_control",62.54,61.54
"GATM","ENST00000396659","snv_control",48.19,47.24
"SHOC2","ENST00000369452","snv_control",40.71,47.1
"PRPF4","ENST00000374198","snv_control",49.36,51.64
"CACNB4","ENST00000539935","snv_control",47.92,48.55
"SH3BP2","ENST00000503393","snv_control",62.34,56.91
"DPF2","ENST00000528416","snv_control",55.27,52.76
"ERCC6","ENST00000355832","snv_control",47.1,48.72
"ATAD3A","ENST00000378756","snv_control",64,68.02
"KIF5A","ENST00000455537","snv_control",53.76,51.94
"ATP6V0A1","ENST00000343619","snv_control",46.98,50.69
"IMPG1","ENST00000369950","snv_control",45.45,28.12
"DPP6","ENST00000377770","snv_control",53.31,46.7
"C9orf72","ENST00000380003","snv_control",40.73,37.97
"RILPL1","ENST00000376874","snv_control",61.72,58.46
"FOXP2","ENST00000350908","snv_control",47.72,46.15
"SLC6A5","ENST00000525748","snv_control",53.88,51.46
"TIE1","ENST00000372476","snv_control",61.69,55.74
"KCNT1","ENST00000371757","snv_control",62.62,63.74
"CACNA1E","ENST00000367573","snv_control",54.68,62.39
"COL4A1","ENST00000375820","snv_control",60.14,55.3
"ZMYM2","ENST00000610343","snv_control",39.7,37.04
"CDK19","ENST00000368911","snv_control",48.44,56.59
"SEC63","ENST00000369002","snv_control",40.91,44.85
"RAX2","ENST00000555633","snv_control",71.71,73.26
"TBX18","ENST00000369663","snv_control",56.85,54.06
"EFTUD2","ENST00000426333","snv_control",51.8,50
"ATXN1","ENST00000436367","snv_control",62.3,55.42
"CFHR3","ENST00000367425","snv_control",37.46,33.6
"CELA2A","ENST00000359621","snv_control",60,47.06
"FN1","ENST00000354785","snv_control",51.52,42.62
"NRAS","ENST00000369535","snv_control",44.39,44.71
"PTPN11","ENST00000351677","snv_control",45.34,50.83
"SLC4A3","ENST00000358055","snv_control",62.45,57.03
"PLAU","ENST00000372764","snv_control",53.86,57.27
"CARD11","ENST00000396946","snv_control",58.79,61.57
"DDR2","ENST00000367921","snv_control",50.23,49.19
"BICC1","ENST00000373886","snv_control",47.59,47.51
"TGFBR1","ENST00000374994","snv_control",44.78,41.48
"KCNQ3","ENST00000388996","snv_control",56.28,55.67
"NFIB","ENST00000380953","snv_control",48.35,52.94
"SPTAN1","ENST00000372739","snv_control",53.19,60.8
"NLRC4","ENST00000402280","snv_control",45.24,38.19
"CACNA1H","ENST00000348261","snv_control",65.41,70.11
"GABRA1","ENST00000393943","snv_control",44.78,45.03
"TMEM106B","ENST00000396668","snv_control",38.18,39.68
"MYPN","ENST00000358913","snv_control",50.21,51.36
"PTDSS1","ENST00000517309","snv_control",48.03,49.38
"BMPR1B","ENST00000515059","snv_control",44.86,49.43
"KCNQ5","ENST00000370398","snv_control",50.95,49.75
"FLI1","ENST00000527786","snv_control",55.56,56.38
"TNNT1","ENST00000588981","snv_control",59.98,59.38
"RNF170","ENST00000527424","snv_control",41.83,37.19
"PNPT1","ENST00000447944","snv_control",40.82,42.72
"POLRMT","ENST00000588649","snv_control",66.23,62
"FGFR2","ENST00000358487","snv_control",51.05,44.19
"SLC39A14","ENST00000381237","snv_control",54.97,46.19
"PDX1","ENST00000381033","snv_control",70.77,67.74
"SEPTIN9","ENST00000427177","snv_control",61.5,58.06
"TRIO","ENST00000344204","snv_control",54.4,54.47
"CDON","ENST00000531738","snv_control",48.04,51.87
"LMNA","ENST00000368300","snv_control",63.26,61.04
"RERE","ENST00000400908","snv_control",60.99,46.43
"CD96","ENST00000352690","snv_control",42.75,44.03
"PRODH","ENST00000357068","snv_control",62.84,63.45
"TFAP2A","ENST00000379613","snv_control",58.26,56.64
"CACNA1S","ENST00000362061","snv_control",55.73,59.6
"COL5A2","ENST00000374866","snv_control",55.91,45.18
"PTPN1","ENST00000371621","snv_control",50.69,56.76
"GABRD","ENST00000378585","snv_control",63.28,65.43
"PLD3","ENST00000409735","snv_control",61.51,61.76
"CFAP43","ENST00000357060","snv_control",40.7,34.56
"DES","ENST00000373960","snv_control",61.78,53.26
"PLCG2","ENST00000564138","snv_control",52.47,43.01
"KCNQ4","ENST00000347132","snv_control",64.61,61.98
"PUM1","ENST00000426105","snv_control",51.75,52.75
"ANK2","ENST00000357077","snv_control",47.43,41.54
"RAC1","ENST00000348035","snv_control",48.01,55.25
"IRF3","ENST00000377139","snv_control",62.07,61.44
"TMEM63A","ENST00000366835","snv_control",55.2,62.95
"AKAP9","ENST00000356239","snv_control",37.97,43.18
"EMILIN1","ENST00000380320","snv_control",67.13,65.72
"TBL1XR1","ENST00000457928","snv_control",42.39,46.75
"LAMB3","ENST00000356082","snv_control",60.93,58.82
"KMT2A","ENST00000534358","snv_control",48.12,48.16
"DHX30","ENST00000445061","snv_control",59.58,67.76
"FGFR1","ENST00000447712","snv_control",57.11,64.32
"PLCB4","ENST00000378473","snv_control",42.39,47.48
"UBIAD1","ENST00000376810","snv_control",57.62,56.13
"RRAGD","ENST00000369415","snv_control",45.22,43.56
"GPD2","ENST00000438166","snv_control",44.96,40.91
"VPS16","ENST00000380445","snv_control",57.34,59.49
"ATL1","ENST00000358385","snv_control",43.11,43.48
"DSTYK","ENST00000367162","snv_control",53.05,53.36
"PMVK","ENST00000368467","snv_control",59.07,56.15
"RPS24","ENST00000372360","snv_control",43.77,49.06
"CD46","ENST00000367042","snv_control",42.42,39.22
"BRPF1","ENST00000383829","snv_control",57.44,57.26
"RYR2","ENST00000366574","snv_control",46.22,37.67
"VIM","ENST00000544301","snv_control",56.53,39.13
"SLC39A5","ENST00000454355","snv_control",63.52,65.46
"TET3","ENST00000409262","snv_control",61.84,63.41
"ADCY5","ENST00000462833","snv_control",62.63,61.45
"BFSP1","ENST00000377873","snv_control",56.01,50.5
"CSNK2B","ENST00000375882","snv_control",52.47,58.16
"XPR1","ENST00000367590","snv_control",45.48,49.55
"MYBPC1","ENST00000361466","snv_control",45.93,45.95
"MED13","ENST00000397786","snv_control",42.39,43.17
"IVNS1ABP","ENST00000367498","snv_control",42.15,42.76
"TRRAP","ENST00000456197","snv_control",53.05,60.3
"CDC42BPB","ENST00000361246","snv_control",54.15,59.89
"SPTBN1","ENST00000356805","snv_control",53.59,52.79
"TEAD1","ENST00000527636","snv_control",48.32,37.2
"JAK2","ENST00000381652","snv_control",38.75,40.51
"EPS8L3","ENST00000361965","snv_control",59.32,61.29
"KCNK4","ENST00000422670","snv_control",66.5,74.01
"SON","ENST00000356577","snv_control",48.26,39.09
"RAD54L","ENST00000371975","snv_control",52.76,59
"GJA5","ENST00000579774","snv_control",56.27,56.27
"JUP","ENST00000393931","snv_control",62.24,60.4
"RNASEL","ENST00000367559","snv_control",47.44,43.88
"ELP1","ENST00000374647","snv_control",46.16,44.07
"ADH1C","ENST00000515683","snv_control",48.14,41.33
"PAX8","ENST00000429538","snv_control",61.05,57.48
"KCNC2","ENST00000549446","snv_control",53.94,49.2
"STT3A","ENST00000392708","snv_control",47.03,44.94
"DICER1","ENST00000343455","snv_control",42.71,48.15
"HTT","ENST00000355072","snv_control",52.56,58.71
"CTNND1","ENST00000399050","snv_control",50.95,48.39
"DNA2","ENST00000358410","snv_control",39.74,34.45
"SFTPA1","ENST00000398636","snv_control",57.56,54.33
"SPOP","ENST00000504102","snv_control",47.91,52.82
"PPP3CA","ENST00000394854","snv_control",44.57,48.99
"CITED2","ENST00000367651","snv_control",63.84,63.84
"ACTN2","ENST00000366578","snv_control",53.82,62.2
"CDC73","ENST00000367435","snv_control",43.98,41.38
"ITGB3","ENST00000559488","snv_control",54.71,47.41
"PTH1R","ENST00000449590","snv_control",60.61,61.78
"COL11A1","ENST00000370096","snv_control",52.02,35.53
"PAX3","ENST00000392070","snv_control",57.39,45.88
"CACNA1D","ENST00000350061","snv_control",49.12,56.4
"MYH7","ENST00000355349","snv_control",57.37,57.35
"PPP1R12A","ENST00000450142","snv_control",42,37.96
"LDB3","ENST00000361373","snv_control",62.55,55
"LMX1B","ENST00000373474","snv_control",63.69,61.54
"PSTPIP1","ENST00000558012","snv_control",60.43,61.54
"REEP2","ENST00000378339","snv_control",57.65,57.14
"EXT2","ENST00000533608","snv_control",49.79,50.26
"ELMOD3","ENST00000409013","snv_control",54.01,56.52
"SYCP2","ENST00000357552","snv_control",34.68,39.06
"HMMR","ENST00000393915","snv_control",36.69,37.86
"COCH","ENST00000396618","snv_control",45.92,45.13
"GFAP","ENST00000588735","snv_control",61.66,52.17
"ANO1","ENST00000355303","snv_control",56.26,61.2
"CACNA1I","ENST00000402142","snv_control",63.35,77.55
"CAPN3","ENST00000397163","snv_control",52.64,48.05
"EDN1","ENST00000379375","snv_control",48.83,46.79
"TBXT","ENST00000366876","snv_control",60.34,67.9
"P4HA2","ENST00000360568","snv_control",53.06,51.24
"FAM111B","ENST00000343597","snv_control",36.92,36.98
"IKBKB","ENST00000520810","snv_control",54.21,52.59
"PALLD","ENST00000505667","snv_control",49.76,45.31
"ATP2A2","ENST00000539276","snv_control",48.61,52.5
"POFUT1","ENST00000375749","snv_control",58.35,58.16
"CTNNB1","ENST00000349496","snv_control",48,54.83
"ALDH18A1","ENST00000371224","snv_control",51.09,50
"POLG2","ENST00000539111","snv_control",46.98,32.87
"PSAP","ENST00000394936","snv_control",55.24,56.98
"UNC45B","ENST00000394570","snv_control",56.27,53.7
"MEIS2","ENST00000561208","snv_control",53.42,53.12
"APOL1","ENST00000397278","snv_control",51.46,51.45
"COL9A2","ENST00000372748","snv_control",68.26,68.8
"TPM1","ENST00000403994","snv_control",50.99,48.15
"PSENEN","ENST00000587708","snv_control",55.88,58.95
"CNBP","ENST00000422453","snv_control",51.69,48.81
"CASQ1","ENST00000368078","snv_control",51.22,52.2
"LMBR1","ENST00000353442","snv_control",42.09,44.12
"PTPN22","ENST00000359785","snv_control",39.77,39.13
"LYN","ENST00000519728","snv_control",46.65,50.2
"NFIA","ENST00000403491","snv_control",51.05,48.53
"QRICH1","ENST00000395443","snv_control",53.67,51.44
"SKI","ENST00000378536","snv_control",68.18,73.64
"H4C11","ENST00000355057","snv_control",64.1,64.1
"SMARCE1","ENST00000348513","snv_control",48.54,49.81
"PAX9","ENST00000361487","snv_control",63.55,57.05
"TRPV3","ENST00000576742","snv_control",55.46,47.59
"GARS1","ENST00000389266","snv_control",47.48,50.57
"LGR4","ENST00000379214","snv_control",44.47,42.28
"SUFU","ENST00000369902","snv_control",57.25,45.71
"DNAJC5","ENST00000360864","snv_control",57.96,62.99
"MAP3K7","ENST00000369329","snv_control",45.3,38.1
"KDM1A","ENST00000400181","snv_control",50.78,57.63
"GUCA1A","ENST00000372958","snv_control",56.44,59.24
"TRAF3","ENST00000392745","snv_control",51.85,54.02
"GABRB2","ENST00000393959","snv_control",46.33,47.99
"NF1","ENST00000358273","snv_control",42.95,49.22
"SAMD9","ENST00000379958","snv_control",36.5,36.5
"RBM12","ENST00000374114","snv_control",47.62,47.62
"CHRNA4","ENST00000370263","snv_control",64.01,59.09
"KMT2B","ENST00000420124","snv_control",63.67,57.06
"NSD2","ENST00000508803","snv_control",52.49,61.8
"FOXE1","ENST00000375123","snv_control",73.71,73.71
"GRHL3","ENST00000361548","snv_control",54.67,46.06
"CTNNA3","ENST00000433211","snv_control",44.49,45.27
"STEAP3","ENST00000393110","snv_control",62.66,62.05
"MYOCD","ENST00000425538","snv_control",52.38,50.64
"MRAS","ENST00000423968","snv_control",52.63,48.67
"ABCC11","ENST00000356608","snv_control",52.35,53.15
"CEACAM16","ENST00000587331","snv_control",63.93,62.3
"MAPK8IP3","ENST00000610761","snv_control",63.03,63.95
"CDK8","ENST00000381527","snv_control",43.73,53.41
"MYOF","ENST00000359263","snv_control",47.59,44.94
"PER3","ENST00000377532","snv_control",51.25,44.78
"RORB","ENST00000376896","snv_control",47.17,44.66
"HNRNPK","ENST00000376263","snv_control",47.17,42.86
"NEDD4L","ENST00000400345","snv_control",47.98,44.44
"DIAPH3","ENST00000400324","snv_control",41.82,42.17
"GANAB","ENST00000356638","snv_control",55.1,53.12
"PERP","ENST00000421351","snv_control",58.76,52.35
"BEST1","ENST00000378043","snv_control",54.84,43.48
"POLR3F","ENST00000377603","snv_control",42.27,49.22
"ADCY10","ENST00000367851","snv_control",43.89,40.09
"LRP4","ENST00000378623","snv_control",56.87,55.09
"ETV6","ENST00000396373","snv_control",53.2,44.23
"CCDC50","ENST00000392455","snv_control",47.69,38.57
"XRCC3","ENST00000555055","snv_control",63.21,67.78
"KIF2A","ENST00000407818","snv_control",40.18,43.38
"POU4F1","ENST00000377208","snv_control",72.06,73.04
"TIMELESS","ENST00000553532","snv_control",53.35,49.59
"MAT1A","ENST00000372213","snv_control",57.15,52.29
"CHN1","ENST00000409900","snv_control",44.13,45.95
"HTRA1","ENST00000368984","snv_control",60.15,46.58
"SOS1","ENST00000402219","snv_control",40.28,50.18
"EFHC1","ENST00000371068","snv_control",44.1,40.16
"PPP2R5D","ENST00000485511","snv_control",53.79,56.38
"CHRNA1","ENST00000348749","snv_control",51.38,48.9
"POU6F2","ENST00000518318","snv_control",57.1,52.79
"COL9A1","ENST00000357250","snv_control",56.22,63.4
"HMGA2","ENST00000403681","snv_control",57.88,50
"AVP","ENST00000380293","snv_control",72.73,76.68
"HARS1","ENST00000504156","snv_control",53.27,53.28
"FAR1","ENST00000354817","snv_control",40.44,39.44
"EYA4","ENST00000355286","snv_control",45.21,45.04
"MATN3","ENST00000407540","snv_control",54.62,35.85
"HK1","ENST00000359426","snv_control",53.34,56.92
"SLC30A2","ENST00000374276","snv_control",58,59.69
"RBPJ","ENST00000355476","snv_control",43.72,49.45
"CST3","ENST00000376925","snv_control",64.63,52.99
"ELOVL1","ENST00000372458","snv_control",51.67,48.9
"SLC26A8","ENST00000490799","snv_control",45.66,50.92
"ZIC2","ENST00000376335","snv_control",69.67,75.85
"FGF12","ENST00000445105","snv_control",44.87,40.24
"MET","ENST00000397752","snv_control",43.59,47.57
"VEZF1","ENST00000581208","snv_control",49.74,48.33
"DLX3","ENST00000434704","snv_control",62.96,64.32
"TOR1A","ENST00000351698","snv_control",49.95,42.52
"DYNC1H1","ENST00000360184","snv_control",51.33,54.19
"SCN10A","ENST00000449082","snv_control",50.71,50.4
"SYT2","ENST00000367268","snv_control",54.37,57.98
"HOXD13","ENST00000392539","snv_control",63.47,48.17
"RNF213","ENST00000582970","snv_control",53.42,48.04
"TBX3","ENST00000349155","snv_control",61.97,69.53
"DZIP1","ENST00000376829","snv_control",46.85,43.08
"SYNE2","ENST00000555002","snv_control",42.67,62.02
"DCC","ENST00000442544","snv_control",48.96,46.43
"EFEMP1","ENST00000355426","snv_control",47.5,41.98
"CTRC","ENST00000375949","snv_control",60.84,55.38
"DNMT1","ENST00000359526","snv_control",55.87,48.24
"KBTBD13","ENST00000432196","snv_control",70.44,70.44
"TFAP2B","ENST00000393655","snv_control",58.35,57.55
"VSX1","ENST00000376709","snv_control",65.76,58.53
"CACNA1A","ENST00000360228","snv_control",59.65,75.6
"RBM20","ENST00000369519","snv_control",56.73,57.76
"DDX6","ENST00000534980","snv_control",43.53,43.81
"THRA","ENST00000450525","snv_control",56.69,58.14
"PDE10A","ENST00000539869","snv_control",54.48,54.25
"NSMF","ENST00000371475","snv_control",61.96,56.08
"ENAM","ENST00000396073","snv_control",44.85,44.17
"OPTN","ENST00000378747","snv_control",47.23,50.58
"IRF2BP2","ENST00000366609","snv_control",67.57,58.09
"BSCL2","ENST00000360796","snv_control",56.8,61.95
"BICD2","ENST00000356884","snv_control",62.5,62.5
"ATN1","ENST00000396684","snv_control",63.28,58.33
"CLCN3","ENST00000513761","snv_control",43.59,47.52
"CACNA1G","ENST00000359106","snv_control",61.33,65.35
"IFITM5","ENST00000382614","snv_control",64.91,61.98
"STAT1","ENST00000361099","snv_control",46.12,44.62
"DMXL2","ENST00000560891","snv_control",41.03,42.69
"HSF4","ENST00000521374","snv_control",64.57,65.37
"SOX5","ENST00000451604","snv_control",50.52,52.54
"SIN3A","ENST00000394947","snv_control",48.74,53.02
"EPHA2","ENST00000358432","snv_control",61.89,61.54
