"hgnc_symbol","ensembl_transcript_id","cds_length"
"PLCG1","ENST00000685551",3876
"PLG","ENST00000308192",2433
"PLS1","ENST00000457734",1890
"PNKD","ENST00000273077",1158
"POLR1B","ENST00000263331",3408
"POLR3F","ENST00000377603",951
"POMP","ENST00000380842",426
"POT1","ENST00000357628",1905
"PPARG","ENST00000651735",1428
"PRKCG","ENST00000263431",2094
"PRKCSH","ENST00000677123",1608
"PROC","ENST00000234071",1386
"PRPF3","ENST00000324862",2052
"PRR12","ENST00000418929",6111
"PRRX1","ENST00000239461",738
"PTPN22","ENST00000359785",2424
"PUM1","ENST00000426105",3567
"RAC2","ENST00000249071",579
"RAF1","ENST00000251849",1947
"RAP1B","ENST00000250559",555
"REEP2","ENST00000378339",765
"RHBDF2","ENST00000675367",2484
"RNF170","ENST00000527424",777
"RNF2","ENST00000367510",1011
"RPA1","ENST00000254719",1851
"RPE65","ENST00000262340",1602
"RPL21","ENST00000311549",483
"RPL27","ENST00000253788",411
"RPL5","ENST00000370321",894
"RPS10","ENST00000648437",498
"RPS15A","ENST00000322989",393
"RRAGC","ENST00000373001",1200
"RRAS2","ENST00000256196",615
"RTN2","ENST00000245923",1638
"RUNX2","ENST00000647337",1566
"SAG","ENST00000631149",1218
"SATB2","ENST00000417098",2202
"SDHB","ENST00000375499",843
"SERPINC1","ENST00000367698",1395
"SET","ENST00000322030",834
"SFTPA1","ENST00000398636",747
"SGCE","ENST00000648936",1314
"SIX1","ENST00000645694",855
"SLC12A5","ENST00000243964",3351
"SLC17A3","ENST00000397060",1497
"SLC2A1","ENST00000426263",1479
"SLC34A1","ENST00000324417",1920
"SLC52A1","ENST00000254853",1347
"SLC5A7","ENST00000264047",1743
"SMAD9","ENST00000379826",1404
"SMARCA4","ENST00000344626",4944
"SNAP25","ENST00000254976",621
"SNRPB","ENST00000381342",696
"SORT1","ENST00000256637",2496
"SOS1","ENST00000402219",4002
"SOX4","ENST00000244745",1425
"SOX5","ENST00000451604",2292
"SOX9","ENST00000245479",1530
"SPOP","ENST00000504102",1125
"SPR","ENST00000234454",786
"STAG1","ENST00000383202",3777
"STK11","ENST00000326873",1302
"STX16","ENST00000371141",978
"SYNE1","ENST00000367255",26394
"TAF4","ENST00000252996",3258
"TARDBP","ENST00000240185",1245
"TAS2R16","ENST00000249284",876
"TBX2","ENST00000240328",2139
"TBX4","ENST00000644296",1641
"TEK","ENST00000380036",3375
"TGFB3","ENST00000238682",1239
"TGFBI","ENST00000442011",2052
"THAP1","ENST00000254250",642
"THRA","ENST00000450525",1233
"TIA1","ENST00000433529",1161
"TICAM1","ENST00000248244",2139
"TNFAIP3","ENST00000612899",2373
"TNNI2","ENST00000673526",549
"TNNI3","ENST00000344887",633
"TNNI3K","ENST00000326637",2508
"TNNT2","ENST00000656932",897
"TNNT3","ENST00000673082",810
"TRAF3","ENST00000392745",1707
"TRAF7","ENST00000326181",2013
"TRPM4","ENST00000252826",3645
"TTBK2","ENST00000267890",3735
"TTC21B","ENST00000243344",3951
"TTR","ENST00000237014",444
"TUBA4A","ENST00000248437",1347
"TUBG1","ENST00000251413",1356
"TWIST1","ENST00000242261",609
"UBA2","ENST00000246548",1923
"UBIAD1","ENST00000376810",1017
"UROD","ENST00000246337",1104
"VAPB","ENST00000475243",732
"VHL","ENST00000256474",642
"VPS4A","ENST00000254950",1314
"WDR11","ENST00000263461",3675
"WNK4","ENST00000246914",3732
"WNT1","ENST00000293549",1113
"XRCC3","ENST00000555055",1041
"YARS1","ENST00000373477",1587
"ZMYM2","ENST00000610343",4134
"ZNF644","ENST00000337393",3984
"ZSWIM6","ENST00000252744",3648
"ACTA1","ENST00000366684",1134
"ACVRL1","ENST00000388922",1512
"ADAM10","ENST00000260408",2247
"ADCY10","ENST00000367851",4833
"ADRA2A","ENST00000280155",1398
"AFF3","ENST00000672756",3681
"AFG3L2","ENST00000269143",2394
"ANGPT1","ENST00000517746",1497
"ANK2","ENST00000357077",11874
"ANKH","ENST00000284268",1479
"AP1S3","ENST00000396654",465
"APC","ENST00000257430",8532
"APCDD1","ENST00000355285",1545
"APP","ENST00000346798",2313
"ARF1","ENST00000272102",546
"ARL3","ENST00000260746",549
"ARMC5","ENST00000268314",2808
"ASB10","ENST00000420175",1404
"ASXL2","ENST00000435504",4308
"ASXL3","ENST00000269197",6747
"ATM","ENST00000675843",9171
"ATP5F1A","ENST00000398752",1662
"ATP5MC3","ENST00000284727",429
"ATP6V1B2","ENST00000276390",1536
"BAG3","ENST00000369085",1728
"BARD1","ENST00000260947",2334
"BCO1","ENST00000258168",1644
"BLK","ENST00000646615",1518
"BMP6","ENST00000283147",1542
"BMPR1B","ENST00000515059",1509
"BRCA2","ENST00000380152",10257
"BRD4","ENST00000679869",4089
"BRIP1","ENST00000259008",3750
"C9orf72","ENST00000380003",1446
"CACNA1A","ENST00000360228",7521
"CACNA1C","ENST00000710581",6756
"CALM2","ENST00000272298",450
"CAMK2G","ENST00000423381",1767
"CAPN5","ENST00000648180",1923
"CAPRIN1","ENST00000341394",2130
"CARD14","ENST00000648509",3015
"CASQ1","ENST00000368078",1191
"CCDC50","ENST00000392455",1449
"CCM2","ENST00000258781",1335
"CD164","ENST00000310786",594
"CD96","ENST00000352690",1710
"CDH11","ENST00000268603",2391
"CDK19","ENST00000368911",1509
"CDK4","ENST00000257904",912
"CDKN2A","ENST00000304494",471
"CELA2A","ENST00000359621",810
"CFC1","ENST00000259216",672
"CHD1","ENST00000614616",5133
"CHEK1","ENST00000438015",1431
"CHRNA1","ENST00000348749",1374
"CHRND","ENST00000258385",1554
"CLTC","ENST00000269122",5028
"CNNM2","ENST00000369878",2628
"COL2A1","ENST00000380518",4464
"COL4A2","ENST00000360467",5139
"COL6A1","ENST00000361866",3087
"COL6A2","ENST00000300527",3060
"CSNK1D","ENST00000314028",1248
"CYP19A1","ENST00000396402",1512
"CYP2C9","ENST00000260682",1473
"DHX37","ENST00000308736",3474
"DIAPH3","ENST00000400324",3582
"DNA2","ENST00000358410",3183
"DRD3","ENST00000383673",1203
"DSPP","ENST00000651931",3906
"DUSP6","ENST00000279488",1146
"DZIP1","ENST00000376829",2604
"EDAR","ENST00000258443",1347
"EDNRA","ENST00000651419",1284
"EDNRB","ENST00000646607",1329
"EGFR","ENST00000275493",3633
"EGLN1","ENST00000366641",1281
"EMILIN1","ENST00000380320",3051
"EPHA2","ENST00000358432",2931
"ERLIN2","ENST00000519638",1020
"ESR2","ENST00000341099",1593
"ETV6","ENST00000396373",1359
"EXT2","ENST00000533608",2157
"FBLN5","ENST00000342058",1347
"FBN2","ENST00000262464",8739
"FBXO11","ENST00000403359",2784
"FBXO28","ENST00000366862",1107
"FBXO38","ENST00000340253",3567
"FCGR2A","ENST00000271450",954
"FLCN","ENST00000285071",1740
"FLG","ENST00000368799",12186
"FLI1","ENST00000527786",1359
"FLNB","ENST00000295956",7809
"FXYD2","ENST00000292079",201
"GABBR2","ENST00000259455",2826
"GABRA2","ENST00000381620",1356
"GABRB2","ENST00000393959",1539
"GATA4","ENST00000643249",1332
"GATA6","ENST00000269216",1788
"GATAD2B","ENST00000576342",1782
"GDF11","ENST00000257868",1224
"GJA1","ENST00000282561",1149
"GLRA1","ENST00000274576",1350
"GLUD1","ENST00000277865",1677
"GLUL","ENST00000331872",1122
"GNAL","ENST00000334049",1377
"GPD1L","ENST00000282541",1056
"GPR161","ENST00000682931",1590
"GREB1L","ENST00000424526",5772
"GRIA4","ENST00000282499",2709
"GRM1","ENST00000282753",3585
"GSN","ENST00000432226",2196
"HABP2","ENST00000351270",1683
"HCN4","ENST00000261917",3612
"HDC","ENST00000267845",1989
"HECW2","ENST00000644978",4719
"HMCN1","ENST00000271588",16908
"HMGA1","ENST00000311487",324
"HMGA2","ENST00000403681",330
"HNF1A","ENST00000257555",1896
"HNMT","ENST00000280097",879
"HNRNPA1","ENST00000340913",1119
"HNRNPDL","ENST00000295470",1263
"HNRNPU","ENST00000640218",2478
"HS6ST1","ENST00000259241",1236
"HSPB8","ENST00000281938",591
"HSPD1","ENST00000388968",1722
"IGF1R","ENST00000650285",4104
"IL17RD","ENST00000296318",2220
"IL6","ENST00000258743",639
"IRF8","ENST00000268638",1281
"ITM2B","ENST00000647800",801
"ITPR1","ENST00000649015",8277
"JPH2","ENST00000372980",2091
"JPH3","ENST00000284262",2247
"KCNH1","ENST00000271751",2970
"KCNH5","ENST00000322893",2967
"KCNMB1","ENST00000274629",576
"KCNN3","ENST00000271915",2196
"KIF11","ENST00000260731",3171
"KIF21A","ENST00000361418",5025
"KIF23","ENST00000679126",2925
"KLHL3","ENST00000309755",1764
"KRT71","ENST00000267119",1572
"LBR","ENST00000272163",1848
"LHCGR","ENST00000294954",2100
"LMX1B","ENST00000373474",1209
"LPP","ENST00000617246",1839
"LRP12","ENST00000276654",2580
"LRRC8A","ENST00000372600",2433
"LRSAM1","ENST00000300417",2172
"MAP3K7","ENST00000369329",1821
"MAPK8IP3","ENST00000610761",4014
"MARCHF6","ENST00000274140",2733
"MAT1A","ENST00000372213",1188
"MDM2","ENST00000258149",1494
"MED12L","ENST00000687756",6543
"MIP","ENST00000652304",792
"MMP13","ENST00000260302",1416
"MRAP2","ENST00000257776",618
"MYO7A","ENST00000409709",6648
"MYOCD","ENST00000425538",2961
"MYOF","ENST00000359263",6186
"MYPN","ENST00000358913",3963
"NAF1","ENST00000274054",1485
"NFIB","ENST00000380953",1485
"NKX2-1","ENST00000354822",1206
"NLRP12","ENST00000324134",3186
"NOL3","ENST00000564992",627
"NOTCH1","ENST00000651671",7668
"NR3C2","ENST00000358102",2955
"NR4A2","ENST00000339562",1797
"NR5A1","ENST00000373588",1386
"NTRK2","ENST00000277120",2517
"NUDT15","ENST00000258662",495
"NUS1","ENST00000368494",882
"OSMR","ENST00000274276",2940
"OTULIN","ENST00000284274",1059
"PAK1","ENST00000356341",1638
"PARN","ENST00000615183",1920
"PAX3","ENST00000392070",1455
"PDE1C","ENST00000396191",2130
"PDE6H","ENST00000266395",252
"PDX1","ENST00000381033",852
"PHF21A","ENST00000676320",2046
"PHIP","ENST00000275034",5466
"PI4KB","ENST00000368873",2451
"PIEZO2","ENST00000674853",8598
"PIK3R1","ENST00000521381",2175
"PKLR","ENST00000572740",1725
"PMP2","ENST00000256103",399
"PNPT1","ENST00000447944",2352
"POGZ","ENST00000271715",4233
"POLG","ENST00000268124",3720
"POU4F1","ENST00000377208",1260
"PPOX","ENST00000367999",1434
"PPP1R3A","ENST00000284601",3369
"PPP3CA","ENST00000394854",1566
"PRDM16","ENST00000270722",3831
"PRKACB","ENST00000370685",1197
"PRPF4","ENST00000374198",1566
"PRPH","ENST00000257860",1413
"PSEN2","ENST00000366783",1347
"PSTPIP1","ENST00000558012",1251
"PTH","ENST00000282091",348
"PTPRQ","ENST00000644991",6900
"RABL3","ENST00000273375",711
"RAC1","ENST00000348035",579
"RANBP2","ENST00000283195",9675
"RASA1","ENST00000274376",3144
"RB1","ENST00000267163",2787
"RBP4","ENST00000371464",606
"RDH12","ENST00000551171",951
"RDH5","ENST00000257895",957
"REN","ENST00000272190",1221
"RERE","ENST00000400908",4701
"RIPK1","ENST00000259808",2016
"RIT1","ENST00000368323",660
"RLBP1","ENST00000268125",954
"RNASEL","ENST00000367559",2226
"ROBO4","ENST00000306534",3024
"ROM1","ENST00000278833",1056
"RPL11","ENST00000643754",537
"RPL35","ENST00000348462",372
"RPS24","ENST00000372360",393
"SCD5","ENST00000319540",993
"SCN1A","ENST00000674923",6030
"SCN2A","ENST00000375437",6018
"SCN2B","ENST00000278947",648
"SCN3A","ENST00000283254",6003
"SDHC","ENST00000367975",510
"SEPTIN12","ENST00000268231",1077
"SERPING1","ENST00000278407",1503
"SETBP1","ENST00000649279",4791
"SETD1B","ENST00000604567",5901
"SF3B4","ENST00000271628",1275
"SH3GL1","ENST00000269886",1107
"SIK1","ENST00000270162",2352
"SIX3","ENST00000260653",999
"SLC12A6","ENST00000354181",3453
"SLC16A12","ENST00000371790",1551
"SLC25A4","ENST00000281456",897
"SLC37A4","ENST00000642844",1290
"SLC39A5","ENST00000454355",1623
"SLC3A1","ENST00000260649",2058
"SLC40A1","ENST00000261024",1716
"SLC5A2","ENST00000330498",2019
"SMAD4","ENST00000342988",1659
"SMAD6","ENST00000288840",1491
"SMARCC2","ENST00000550164",3738
"SNCA","ENST00000394991",423
"SNRNP200","ENST00000323853",6411
"SOD1","ENST00000270142",465
"SPRY2","ENST00000377104",948
"SRSF1","ENST00000258962",747
"STAT4","ENST00000392320",2247
"STT3A","ENST00000392708",2118
"STXBP1","ENST00000373299",1785
"SYCP3","ENST00000392924",711
"SYT2","ENST00000367268",1260
"TBR1","ENST00000389554",2049
"TBX3","ENST00000349155",2172
"TBX6","ENST00000395224",1311
"TCF12","ENST00000333725",2121
"TCF7L2","ENST00000355995",1860
"TENM4","ENST00000278550",8310
"TFAP2A","ENST00000379613",1320
"THRB","ENST00000646209",1386
"THSD1","ENST00000258613",2559
"TLK2","ENST00000346027",2253
"TLR2","ENST00000642700",2355
"TMEM127","ENST00000258439",717
"TMEM163","ENST00000281924",870
"TNFRSF11A","ENST00000586569",1851
"TOR1A","ENST00000351698",999
"TP53","ENST00000269305",1182
"TPM1","ENST00000403994",855
"TPM3","ENST00000651641",858
"TRIP12","ENST00000675903",6204
"TRPC3","ENST00000379645",2766
"TRPC6","ENST00000344327",2796
"TUBB2A","ENST00000333628",1338
"TUBB2B","ENST00000259818",1338
"UBAP2L","ENST00000428931",3264
"UCHL1","ENST00000284440",672
"UNC45B","ENST00000394570",2790
"VAMP1","ENST00000396308",357
"VEGFC","ENST00000618562",1260
"VEZF1","ENST00000581208",1566
"WARS1","ENST00000392882",1416
"WNT10A","ENST00000258411",1254
"XPR1","ENST00000367590",2091
"YAP1","ENST00000282441",1515
"ZEB1","ENST00000424869",3378
"ZFHX2","ENST00000419474",7719
"ZFHX3","ENST00000268489",11112
"ZFYVE27","ENST00000684270",1236
"ZIC1","ENST00000282928",1344
"ZNF462","ENST00000277225",7521
"ZNF687","ENST00000336715",3714
"A2ML1","ENST00000299698",4365
"ABCA1","ENST00000374736",6786
"ACAN","ENST00000560601",7707
"ACOX1","ENST00000293217",1983
"ACTC1","ENST00000290378",1134
"ACTG2","ENST00000345517",1131
"ADAR","ENST00000368474",3681
"ADGRV1","ENST00000405460",18921
"AGRP","ENST00000290953",399
"AIRE","ENST00000291582",1638
"ALB","ENST00000295897",1830
"ALG8","ENST00000299626",1581
"ALPL","ENST00000374840",1575
"ANGPTL4","ENST00000301455",1221
"ANKRD11","ENST00000301030",7992
"ANTXR1","ENST00000303714",1695
"ANXA5","ENST00000296511",963
"AP1G1","ENST00000299980",2469
"AP2M1","ENST00000292807",1308
"APOA2","ENST00000367990",303
"APPL1","ENST00000288266",2130
"AQP2","ENST00000199280",816
"AQP5","ENST00000293599",798
"ATP1A1","ENST00000295598",3072
"ATP2B2","ENST00000360273",3732
"ATXN7","ENST00000674280",2679
"AUTS2","ENST00000342771",3780
"AXIN2","ENST00000307078",2532
"BAP1","ENST00000460680",2190
"BEAN1","ENST00000536005",780
"BEST1","ENST00000378043",1758
"BFSP2","ENST00000302334",1248
"BMS1","ENST00000374518",3849
"BNC1","ENST00000345382",2985
"BRAF","ENST00000646891",2301
"BRPF1","ENST00000383829",3663
"BSCL2","ENST00000360796",1389
"BUB1B","ENST00000287598",3153
"C1R","ENST00000671968",2160
"CACNA1D","ENST00000350061",6486
"CACNB2","ENST00000324631",1983
"CACNG2","ENST00000300105",972
"CADM3","ENST00000368125",1197
"CALM3","ENST00000291295",450
"CARTPT","ENST00000296777",351
"CCDC78","ENST00000345165",1413
"CCNF","ENST00000397066",2361
"CDH2","ENST00000269141",2721
"CEL","ENST00000372080",2262
"CHD3","ENST00000330494",6003
"CHRNB1","ENST00000639692",1506
"CITED2","ENST00000367651",813
"CLEC3B","ENST00000296130",609
"CLPB","ENST00000538039",2034
"CLPX","ENST00000300107",1902
"CNBP","ENST00000422453",534
"COL1A2","ENST00000297268",4101
"COL3A1","ENST00000708566",4401
"COL4A3","ENST00000396578",5013
"COL6A3","ENST00000295550",9534
"CPA6","ENST00000297770",1314
"CPT1C","ENST00000598293",2412
"CPT2","ENST00000371486",1977
"CRELD1","ENST00000452070",1263
"CRYAA","ENST00000291554",522
"CRYBA2","ENST00000295728",594
"CRYGC","ENST00000646204",525
"CTBP1","ENST00000382952",1290
"CTLA4","ENST00000648405",672
"CTNNB1","ENST00000349496",2346
"CTRC","ENST00000375949",807
"CTSB","ENST00000710757",1116
"CYP11B1","ENST00000292427",1512
"CYP3A4","ENST00000651514",1512
"DACT1","ENST00000395153",2400
"DCHS1","ENST00000299441",9897
"DDB1","ENST00000301764",3423
"DDR2","ENST00000367921",2568
"DPYSL5","ENST00000288699",1695
"DRD5","ENST00000304374",1434
"DVL3","ENST00000313143",2151
"DYRK1A","ENST00000647188",2265
"EEF2","ENST00000309311",2577
"EIF4A2","ENST00000323963",1224
"EPB41","ENST00000343067",2595
"ERG","ENST00000288319",1440
"FAM111A","ENST00000675163",1836
"FBN1","ENST00000316623",8616
"FDPS","ENST00000368356",1260
"FGF17","ENST00000359441",651
"FREM1","ENST00000380880",6540
"FSHR","ENST00000406846",2088
"FTH1","ENST00000273550",552
"FZD5","ENST00000295417",1758
"GABRB1","ENST00000295454",1425
"GABRB3","ENST00000311550",1422
"GDF6","ENST00000287020",1368
"GDNF","ENST00000326524",636
"GFI1","ENST00000294702",1269
"GFI1B","ENST00000372122",993
"GHRL","ENST00000335542",354
"GJB2","ENST00000382848",681
"GNE","ENST00000642385",2169
"GPRC5B","ENST00000300571",1212
"GRHL3","ENST00000361548",1809
"GRIA1","ENST00000285900",2721
"GRIK2","ENST00000369134",2727
"H1-4","ENST00000304218",660
"H3-3A","ENST00000366815",411
"HARS1","ENST00000504156",1530
"HCN1","ENST00000303230",2673
"HCRT","ENST00000293330",396
"HEPACAM","ENST00000298251",1251
"HESX1","ENST00000295934",558
"HK1","ENST00000359426",2754
"HNRNPH1","ENST00000710506",1359
"HNRNPK","ENST00000376263",1395
"HPD","ENST00000289004",1182
"HS3ST6","ENST00000293937",1029
"HSD17B13","ENST00000328546",903
"HSPB3","ENST00000302005",453
"HTRA1","ENST00000368984",1443
"IGF2","ENST00000416167",543
"IHH","ENST00000295731",1236
"IKZF3","ENST00000346872",1530
"IL13","ENST00000304506",441
"IL31RA","ENST00000652347",2295
"INAVA","ENST00000413687",1737
"INSR","ENST00000302850",4149
"IRF2BP2","ENST00000366609",1764
"IRS1","ENST00000305123",3729
"JAK1","ENST00000342505",3465
"KAT6B","ENST00000630001",6222
"KCNB1","ENST00000371741",2577
"KCNC2","ENST00000549446",1917
"KCNE2","ENST00000290310",372
"KCNJ6","ENST00000609713",1272
"KCNMA1","ENST00000286628",3711
"KCNT2","ENST00000709532",3408
"KIF5A","ENST00000455537",3099
"KIF5C","ENST00000616530",2583
"KIT","ENST00000288135",2931
"KLHL10","ENST00000293303",1827
"KLK11","ENST00000453757",753
"KMT2D","ENST00000301067",16614
"KRT1","ENST00000252244",1935
"KRT4","ENST00000551956",1563
"KRT6C","ENST00000252250",1695
"KRT74","ENST00000305620",1590
"KRT83","ENST00000293670",1482
"KRT86","ENST00000423955",1461
"LEMD2","ENST00000293760",1512
"LIPC","ENST00000299022",1500
"LMBRD2","ENST00000296603",2088
"LMNA","ENST00000368300",1995
"LMX1A","ENST00000342310",1149
"LRP5","ENST00000294304",4848
"LTBP3","ENST00000301873",3912
"MAP2K1","ENST00000307102",1182
"MAPRE2","ENST00000300249",984
"MARS1","ENST00000262027",2703
"MBL2","ENST00000674931",747
"MC4R","ENST00000299766",999
"MN1","ENST00000302326",3963
"MPZ","ENST00000533357",747
"MRAS","ENST00000423968",627
"MST1R","ENST00000296474",4203
"MSX1","ENST00000382723",912
"MTMR14","ENST00000296003",1953
"MUC7","ENST00000304887",1134
"MVD","ENST00000301012",1203
"MYL3","ENST00000292327",588
"NAA15","ENST00000296543",2601
"NACC1","ENST00000292431",1584
"NCSTN","ENST00000294785",2130
"NEUROD1","ENST00000295108",1071
"NEXN","ENST00000334785",2028
"NFIA","ENST00000403491",1530
"NIPA1","ENST00000673033",987
"NIPBL","ENST00000282516",8415
"NLGN1","ENST00000695368",2532
"NLRP3","ENST00000336119",3105
"NOD2","ENST00000647318",3042
"NODAL","ENST00000287139",1044
"NOS3","ENST00000297494",3612
"NPR2","ENST00000342694",3144
"NSD1","ENST00000439151",8091
"NSMF","ENST00000371475",1593
"OTX2","ENST00000672264",894
"OXGR1","ENST00000541038",1014
"PANK4","ENST00000615291",2322
"PCSK9","ENST00000302118",2079
"PHB1","ENST00000300408",819
"PITX2","ENST00000644743",975
"PLIN1","ENST00000300055",1569
"PLIN4","ENST00000301286",4116
"PMVK","ENST00000368467",579
"POGLUT1","ENST00000295588",1179
"PPM1D","ENST00000305921",1818
"PPP2R2B","ENST00000394411",1332
"PRDM10","ENST00000360871",3471
"PRDX3","ENST00000298510",771
"PRIMPOL","ENST00000314970",1683
"PROK2","ENST00000295619",390
"PRRT2","ENST00000358758",1023
"PTDSS1","ENST00000517309",1422
"PTH1R","ENST00000449590",1782
"RAC3","ENST00000306897",579
"RAD21","ENST00000297338",1896
"RBPJ","ENST00000355476",1464
"RET","ENST00000355710",3345
"RHO","ENST00000296271",1047
"ROBO1","ENST00000464233",4956
"ROR2","ENST00000375708",2832
"RP9","ENST00000297157",666
"RPL13","ENST00000311528",636
"RPL26","ENST00000648839",438
"RPSA","ENST00000301821",888
"RRM1","ENST00000300738",2379
"RUNX1","ENST00000675419",1443
"SCAF4","ENST00000286835",3444
"SCGB3A2","ENST00000296694",282
"SCN11A","ENST00000302328",5376
"SCN3B","ENST00000299333",648
"SCN9A","ENST00000642356",5967
"SCNN1B","ENST00000343070",1923
"SCNN1G","ENST00000300061",1950
"SDC3","ENST00000339394",1329
"SDHAF2","ENST00000301761",501
"SEMA6B","ENST00000586582",2667
"SERPINA6","ENST00000621384",1218
"SERPINI1","ENST00000446050",1233
"SETD5","ENST00000402198",4329
"SFTPC","ENST00000679463",576
"SGMS2","ENST00000690982",1098
"SH3TC2","ENST00000515425",3867
"SHH","ENST00000297261",1389
"SIN3A","ENST00000394947",3822
"SKI","ENST00000378536",2187
"SLC16A1","ENST00000628110",1503
"SLC20A2","ENST00000520262",1959
"SLC2A2","ENST00000314251",1575
"SLC30A2","ENST00000374276",1119
"SLC30A8","ENST00000456015",1110
"SLC33A1","ENST00000643144",1650
"SLC6A1","ENST00000287766",1800
"SLC6A5","ENST00000525748",2394
"SMAD3","ENST00000327367",1278
"SMARCAD1","ENST00000354268",3081
"SOHLH1","ENST00000425225",1164
"SON","ENST00000356577",7281
"SOST","ENST00000301691",642
"SOX17","ENST00000297316",1245
"SPINK1","ENST00000296695",240
"SPRED1","ENST00000299084",1335
"SPTA1","ENST00000643759",7260
"SPTSSA","ENST00000298130",216
"SQSTM1","ENST00000640444",1323
"SRRM2","ENST00000301740",8259
"STAT3","ENST00000264657",2313
"STAT6","ENST00000300134",2544
"STIM1","ENST00000526596",2151
"STOX1","ENST00000298596",2970
"SYK","ENST00000375754",1908
"SYN2","ENST00000621198",1749
"TANC2","ENST00000689528",6225
"TAOK1","ENST00000261716",3006
"TBC1D24","ENST00000646147",1680
"TBXT","ENST00000366876",1311
"TERT","ENST00000310581",3399
"TGFBR2","ENST00000295754",1704
"TGM6","ENST00000202625",2121
"TLR3","ENST00000296795",2715
"TM4SF20","ENST00000304568",690
"TMC1","ENST00000297784",2283
"TMEM43","ENST00000306077",1203
"TNXB","ENST00000433037",1902
"TPM4","ENST00000643579",747
"TRIM44","ENST00000299413",1035
"TRIM8","ENST00000643721",1656
"TRPV3","ENST00000576742",2373
"TSC1","ENST00000298552",3495
"TSHR","ENST00000298171",2295
"TTN","ENST00000589042",107976
"TUBA1A","ENST00000301071",1356
"UBAP1","ENST00000297661",1509
"UMOD","ENST00000396138",1923
"VANGL2","ENST00000368061",1566
"VCP","ENST00000358901",2421
"VKORC1","ENST00000394975",492
"WASHC5","ENST00000318410",3480
"WDFY3","ENST00000295888",10581
"WDR26","ENST00000414423",2286
"WNT10B","ENST00000301061",1170
"WNT4","ENST00000290167",1056
"YEATS2","ENST00000305135",4269
"YWHAG","ENST00000307630",744
"ZEB2","ENST00000627532",3645
"ZFPM2","ENST00000407775",3456
"ZNF148","ENST00000360647",2385
"ABCA4","ENST00000370225",6822
"ACTG1","ENST00000707466",1128
"ADCY5","ENST00000462833",3786
"ADIPOQ","ENST00000320741",735
"ADRB3","ENST00000345060",1227
"ALG10B","ENST00000308742",1422
"AMTN","ENST00000339336",630
"ANO5","ENST00000324559",2742
"APOLD1","ENST00000356591",747
"ARID2","ENST00000334344",5508
"ASXL1","ENST00000375687",4626
"ATAD3A","ENST00000378756",1761
"ATL1","ENST00000358385",1677
"ATL3","ENST00000398868",1626
"ATOH1","ENST00000306011",1065
"ATP2A2","ENST00000539276",3129
"ATP6V0C","ENST00000330398",468
"ATR","ENST00000350721",7935
"BICD2","ENST00000356884",2568
"BNC2","ENST00000380672",3300
"BPTF","ENST00000306378",8763
"C1S","ENST00000360817",2067
"CACNA1E","ENST00000367573",6942
"CACNA1H","ENST00000348261",7062
"CACNB4","ENST00000539935",1563
"CALM1","ENST00000356978",450
"CAMTA1","ENST00000303635",5022
"CARD11","ENST00000396946",3465
"CAV3","ENST00000343849",456
"CCL11","ENST00000305869",294
"CDC42BPB","ENST00000361246",5136
"CES1","ENST00000574513",1707
"CFAP43","ENST00000357060",4998
"CHAMP1","ENST00000361283",2439
"CHD2","ENST00000394196",5487
"CHD7","ENST00000423902",8994
"CLCN1","ENST00000343257",2967
"COL18A1","ENST00000651438",4020
"COL4A1","ENST00000375820",5010
"COL8A2","ENST00000397799",2112
"COPB2","ENST00000333188",2721
"COQ2","ENST00000647002",1116
"CRYBA4","ENST00000354760",591
"CRYGB","ENST00000260988",528
"CSF1R","ENST00000675795",2919
"CTNNA3","ENST00000433211",2688
"CTNND1","ENST00000399050",2907
"CYCS","ENST00000305786",318
"DAB1","ENST00000371236",1668
"DAOA","ENST00000375936",462
"DCC","ENST00000442544",4344
"DDX41","ENST00000330503",1869
"DEAF1","ENST00000634194",485
"DES","ENST00000373960",1413
"DHTKD1","ENST00000263035",2760
"DIABLO","ENST00000464942",720
"DLL1","ENST00000616526",2172
"DYNC1H1","ENST00000360184",13941
"EDARADD","ENST00000334232",648
"EHMT1","ENST00000460843",3897
"ELANE","ENST00000632488",804
"ENPP1","ENST00000647893",2778
"EPHA10","ENST00000373048",3027
"EPHB4","ENST00000358173",2964
"EPOR","ENST00000222139",1527
"EPS8L3","ENST00000361965",1782
"ERBB4","ENST00000342788",3927
"EVC2","ENST00000344408",3927
"EXT1","ENST00000378204",2241
"F2","ENST00000311907",1869
"F5","ENST00000367797",6675
"FAM111B","ENST00000343597",2205
"FAM83H","ENST00000612192",3540
"FAR1","ENST00000354817",1548
"FGA","ENST00000403106",1935
"FIGLA","ENST00000332372",660
"FOXC2","ENST00000649859",1506
"FOXD3","ENST00000371116",1437
"FOXE1","ENST00000375123",1122
"FOXE3","ENST00000335071",960
"FOXG1","ENST00000313071",1470
"FOXL1","ENST00000320241",1038
"FOXL2","ENST00000648323",1131
"FRMD5","ENST00000417257",1713
"FZD2","ENST00000315323",1698
"FZD4","ENST00000531380",1614
"GABRA5","ENST00000335625",1389
"GABRD","ENST00000378585",1359
"GATA2","ENST00000341105",1443
"GATM","ENST00000396659",1272
"GBA1","ENST00000574670",1611
"GDF3","ENST00000329913",1095
"GJB3","ENST00000373366",813
"GJB4","ENST00000339480",801
"GJC2","ENST00000366714",1320
